Name,Símbolo,Mercado,Último (Preço),%,Data/Hora,Link
CABKA DSC2 TS,DSC2S,XAMS,-,-,-,https://live.euronext.com/pt/product/equities/NL00150002R5-XAMS
CABKA EUR 12W,DSCW2,XAMS,"EUR 0,0005",-,29 Dec 2025,https://live.euronext.com/pt/product/equities/NL00150000U3-XAMS
CABKA EUR 13W,DSCW3,XAMS,"EUR 0,0005",-,29 Dec 2025,https://live.euronext.com/pt/product/equities/NL00150000V1-XAMS
CADELER,CADLR,XOSL,"NOK 55,30","2,22%",16:29 CET,https://live.euronext.com/pt/product/equities/DK0061412772-XOSL
Cadence Design,1CDNS,BGEM,"EUR 282,95","1,33%",11:11 CET,https://live.euronext.com/pt/product/equities/US1273871087-BGEM
CAFOM,ALCAF,ALXP,"EUR 11,65","0,43%",12:15 CET,https://live.euronext.com/pt/product/equities/FR0010151589-ALXP
CAIRN HOMES PLC,C5H,XMSM,"EUR 2,115","0,48%",16:30 GMT,https://live.euronext.com/pt/product/equities/IE00BWY4ZF18-XMSM
CAIRO COMMUNICAT,CAI,MTAA,"EUR 2,82","-1,40%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0004329733-MTAA
CAIXABANK,2CABK,MTAH,"EUR 7,648","2,96%",15 May 2025,https://live.euronext.com/pt/product/equities/ES0140609019-MTAH
CAIXABANK,1CABK,BGEM,"EUR 10,68","-1,20%",15 Jan 2026,https://live.euronext.com/pt/product/equities/ES0140609019-BGEM
CAIXABANK,4CABK,ETLX,"EUR 10,57","1,10%",29 Dec 2025,https://live.euronext.com/pt/product/equities/ES0140609019-ETLX
CAL-MAINE FOODS IN,1CALM,BGEM,"EUR 62,20","-0,19%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US1280302027-BGEM
CALEFFI,CLF,MTAA,"EUR 0,934","2,64%",17:27 CET,https://live.euronext.com/pt/product/equities/IT0003025019-MTAA
CALIBRE,ALIBR,ALXP,"EUR 0,0004",-,17:35 CET,https://live.euronext.com/pt/product/equities/FR0014004QR6-ALXP
CALIBRE BSA K2A,IBRKA,ALXP,"EUR 0,0005",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/FR0013507985-ALXP
CALIBRE BSA K2B,IBRKB,ALXP,"EUR 0,0005",-,12 Jan 2026,https://live.euronext.com/pt/product/equities/FR0013508009-ALXP
CALTAGIRONE,CALT,MTAA,"EUR 9,94","-2,07%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0003127930-MTAA
CALTAGIRONE EDIT,CED,MTAA,"EUR 1,875","0,81%",16:47 CET,https://live.euronext.com/pt/product/equities/IT0001472171-MTAA
CAMBI,CAMBI,MERK,"NOK 17,95","-1,37%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010078850-MERK
CAMBODGE NOM.,CBDG,XPAR,"EUR 96,00","-0,52%",17:21 CET,https://live.euronext.com/pt/product/equities/FR001400SUB7-XPAR
CAMPARI,2CPR,MTAH,"EUR 5,812","-0,55%",18:48 CET,https://live.euronext.com/pt/product/equities/NL0015435975-MTAH
CAMPARI,CPR,MTAA,"EUR 5,844","3,80%",17:36 CET,https://live.euronext.com/pt/product/equities/NL0015435975-MTAA
CAMPINE,CAMB,XBRU,"EUR 226,00",-,17:35 CET,https://live.euronext.com/pt/product/equities/BE0003825420-XBRU
CANDELA INVEST,CAND,ALXB,"EUR 2,30","35,29%",06 Jan 2026,https://live.euronext.com/pt/product/equities/BE0974298300-ALXB
CAPGEMINI,4CAP,ETLX,"EUR 145,40","-0,92%",08 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000125338-ETLX
CAPGEMINI,CAP,XPAR,"EUR 141,60","-1,29%",17:36 CET,https://live.euronext.com/pt/product/equities/FR0000125338-XPAR
CAPGEMINI,2CAP,MTAH,"EUR 154,95","2,96%",06 Jun 2025,https://live.euronext.com/pt/product/equities/FR0000125338-MTAH
CAPITAL B,ALCPB,ALXP,"EUR 0,86","-3,26%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0011053636-ALXP
CAPITAL B BSA 26,CPBBS,ALXP,"EUR 0,051","-3,77%",17:07 CET,https://live.euronext.com/pt/product/equities/FR001400YPQ3-ALXP
Capital One Fin,1COF,BGEM,"EUR 208,00","0,97%",16:32 CET,https://live.euronext.com/pt/product/equities/US14040H1059-BGEM
CAPSOL TECHNOLOGI,CAPSL,XOSL,"NOK 5,98",-,16:02 CET,https://live.euronext.com/pt/product/equities/NO0010923121-XOSL
CARBIOS,ALCRB,ALXP,"EUR 11,27","-1,57%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0011648716-ALXP
Cardinal Health,1CAH,BGEM,"EUR 176,05","-2,17%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US14149Y1082-BGEM
CARE PROPERTY INV.,CPINV,XBRU,"EUR 12,16","-0,98%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0974273055-XBRU
CAREL INDUSTRIES,CRL,MTAA,"EUR 23,65","-1,25%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005331019-MTAA
CARL ZEISS MEDITEC,4AFX,ETLX,"EUR 43,66","-1,40%",10 Oct 2025,https://live.euronext.com/pt/product/equities/DE0005313704-ETLX
CARL ZEISS MEDITEC,2AFX,MTAH,"EUR 40,92","2,92%",11 Dec 2025,https://live.euronext.com/pt/product/equities/DE0005313704-MTAH
CARL ZEISS MEDITEC,1AFX,BGEM,"EUR 39,68","-0,15%",16:08 CET,https://live.euronext.com/pt/product/equities/DE0005313704-BGEM
CARLYLE GROUP,1CG,BGEM,"EUR 54,22","10,06%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US14316J1088-BGEM
CARMAT,ALCAR,ALXP,"EUR 0,099","-1,00%",24 Sep 2025,https://live.euronext.com/pt/product/equities/FR0010907956-ALXP
CARMILA,CARM,XPAR,"EUR 16,30","-0,37%",17:38 CET,https://live.euronext.com/pt/product/equities/FR0010828137-XPAR
CARMILA,2CARM,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0010828137-MTAH
CARREFOUR,4CA,ETLX,"EUR 14,25","0,35%",06 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000120172-ETLX
CARREFOUR,2CA,MTAH,"EUR 14,435","4,49%",07 Jan 2025,https://live.euronext.com/pt/product/equities/FR0000120172-MTAH
CARREFOUR,CA,XPAR,"EUR 13,79","-1,25%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000120172-XPAR
Carrier Global,1CARR,BGEM,"EUR 47,85","-0,52%",15:30 CET,https://live.euronext.com/pt/product/equities/US14448C1045-BGEM
CARVANA CO,1CVNA,BGEM,"EUR 396,05","0,01%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US1468691027-BGEM
CASINO BSA1,COBS1,XPAR,-,-,-,https://live.euronext.com/pt/product/equities/FR001400OJ72-XPAR
CASINO BSA3,COBS3,XPAR,"EUR 0,0005",-,25 Nov 2025,https://live.euronext.com/pt/product/equities/FR001400OJ98-XPAR
CASINO GUICHARD,2CO,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR001400OKR3-MTAH
CASINO GUICHARD,CO,XPAR,"EUR 0,2456","-0,89%",17:35 CET,https://live.euronext.com/pt/product/equities/FR001400OKR3-XPAR
CASTA DIVA GROUP,CDG,EXGM,"EUR 2,59","2,78%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005003782-EXGM
Castellum,1CAST,BGEM,-,-,-,https://live.euronext.com/pt/product/equities/SE0000379190-BGEM
CATANA GROUP,ALCAT,ALXP,"EUR 2,86",-,17:35 CET,https://live.euronext.com/pt/product/equities/FR0010193052-ALXP
CATERING INTL SCES,ALCIS,ALXP,"EUR 13,55","0,37%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000064446-ALXP
CATERPILLAR,1CAT,BGEM,"EUR 558,00","-0,71%",17:29 CET,https://live.euronext.com/pt/product/equities/US1491231015-BGEM
CATERPILLAR,2CAT,MTAH,"EUR 561,00","-0,18%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US1491231015-MTAH
CAVENDISH HYDROGEN,CAVEN,XOSL,"NOK 7,68",-,16:25 CET,https://live.euronext.com/pt/product/equities/NO0013219535-XOSL
CBI,ALCBI,ALXP,"EUR 0,16","-4,76%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0014007LW0-ALXP
CBI BSA A,CBBSA,ALXP,"EUR 0,0095",-,17:35 CET,https://live.euronext.com/pt/product/equities/FR001400O416-ALXP
CBI BSA B,CBSAB,ALXP,"EUR 0,0035","-12,50%",14:01 CET,https://live.euronext.com/pt/product/equities/FR001400O408-ALXP
CBO TERRITORIA,CBOT,XPAR,"EUR 3,67","-0,27%",17:25 CET,https://live.euronext.com/pt/product/equities/FR0010193979-XPAR
Cboe Global,1CBOE,BGEM,"EUR 212,30","0,09%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US12503M1080-BGEM
CBRE Group Inc,1CBRE,BGEM,"EUR 142,00","3,65%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US12504L1098-BGEM
CDW Corp/DE,1CDW,BGEM,"EUR 115,75","5,32%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US12514G1085-BGEM
CECONOMY,1CEC,BGEM,"EUR 4,405","-0,79%",02 Jan 2026,https://live.euronext.com/pt/product/equities/DE0007257503-BGEM
CECONOMY,4CEC,ETLX,"EUR 4,175","0,72%",28 Jul 2025,https://live.euronext.com/pt/product/equities/DE0007257503-ETLX
CECONOMY,2CEC,MTAH,"EUR 3,002",-,02 Dec 2024,https://live.euronext.com/pt/product/equities/DE0007257503-MTAH
CEGEDIM,ALCGM,ALXP,"EUR 13,75","-0,36%",17:38 CET,https://live.euronext.com/pt/product/equities/FR0000053506-ALXP
Celanese Corp,1CE,BGEM,"EUR 39,03","6,96%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US1508701034-BGEM
CELLECTIS,ALCLS,ALXP,"EUR 3,49","-2,51%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0010425595-ALXP
Cellnex Telecom,1CLNX,BGEM,"EUR 26,00","-0,54%",13:39 CET,https://live.euronext.com/pt/product/equities/ES0105066007-BGEM
CELLULARLINE,CELL,MTAA,"EUR 2,55",-,17:35 CET,https://live.euronext.com/pt/product/equities/IT0005244618-MTAA
CELYAD ONCOLOGY,CYAD,"XBRU, XPAR","EUR 0,175","1,16%",17:28 CET,https://live.euronext.com/pt/product/equities/BE0974260896-XBRU
CEMBRE,CMB,MTAA,"EUR 67,90","1,19%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0001128047-MTAA
CEMENTIR HOLDING,CEM,MTAA,"EUR 19,42","-0,92%",17:36 CET,https://live.euronext.com/pt/product/equities/NL0013995087-MTAA
Cencora Inc,1COR,BGEM,"EUR 298,30","1,12%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US03073E1055-BGEM
CENERGY,CENER,XBRU,"EUR 17,48","3,80%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0974303357-XBRU
CENTENE,4CNC,ETLX,"EUR 40,08","-0,76%",11:13 CET,https://live.euronext.com/pt/product/equities/US15135B1017-ETLX
CENTENE,1CNC,BGEM,"EUR 40,09","-0,74%",16:03 CET,https://live.euronext.com/pt/product/equities/US15135B1017-BGEM
CENTENE,2CNC,MTAH,"EUR 34,365","0,61%",25 Nov 2025,https://live.euronext.com/pt/product/equities/US15135B1017-MTAH
CenterPoint En,1CNP,BGEM,"EUR 33,00","-1,79%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US15189T1079-BGEM
CERINNOV GROUP,ALPCV,ALXP,"EUR 0,0266",-,23 Dec 2025,https://live.euronext.com/pt/product/equities/FR0013178712-ALXP
CF Industries,1CF,BGEM,"EUR 73,39","-1,75%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US1252691001-BGEM
CFE,CFEB,XBRU,"EUR 9,08","-0,66%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003883031-XBRU
CFI,CFI,XPAR,"EUR 1,64","2,50%",16:30 CET,https://live.euronext.com/pt/product/equities/FR0000037475-XPAR
CFM INDOSUEZWEALTH,MLCFM,XMLI,"EUR 1 290,00","0,78%",09 Jan 2026,https://live.euronext.com/pt/product/equities/MC0010000826-XMLI
CH.FER DEPARTEMENT,MLCFD,XMLI,"EUR 915,00","-8,04%",16:30 CET,https://live.euronext.com/pt/product/equities/FR0000037871-XMLI
CHARB BONNIER,,VPXB,"EUR 103,00","8,99%",29 Oct 2024,https://live.euronext.com/pt/product/equities/BE0010381029-VPXB
Charles Schwab,1SCHW,BGEM,"EUR 87,30","1,57%",29 Dec 2025,https://live.euronext.com/pt/product/equities/US8085131055-BGEM
CHARTER COMM,4CHTR,ETLX,"EUR 346,10","0,64%",05 Jun 2025,https://live.euronext.com/pt/product/equities/US16119P1084-ETLX
CHARTER COMM,2CHTR,MTAH,"EUR 197,30","2,22%",05 Nov 2025,https://live.euronext.com/pt/product/equities/US16119P1084-MTAH
CHARTER COMM,1CHTR,BGEM,"EUR 178,52","-0,15%",02 Jan 2026,https://live.euronext.com/pt/product/equities/US16119P1084-BGEM
CHARWOOD ENERGY,ALCWE,ALXP,"EUR 3,00","3,45%",15:53 CET,https://live.euronext.com/pt/product/equities/FR001400AJ60-ALXP
CHAUSSERIA,CHSR,XPAR,"EUR 6,50",-,31 Dec 2025,https://live.euronext.com/pt/product/equities/FR0000060907-XPAR
CHEESECAKE FACTORY,1CAKE,BGEM,"EUR 44,73","0,86%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US1630721017-BGEM
CHENIERE ENERGY IN,1LNG,BGEM,"EUR 173,45","-0,40%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US16411R2085-BGEM
CHEOPS TECHNOLOGY,MLCHE,XMLI,"EUR 60,50","1,68%",09 Jan 2026,https://live.euronext.com/pt/product/equities/FR0010447086-XMLI
CHEVRON,1CVX,BGEM,"EUR 143,70","-0,33%",17:16 CET,https://live.euronext.com/pt/product/equities/US1667641005-BGEM
CHEVRON,4CVX,ETLX,"EUR 143,00","-0,42%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US1667641005-ETLX
CHEVRON,2CVX,MTAH,"EUR 139,66","0,17%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US1667641005-MTAH
CHEWY CLASS A,1CHWY,BGEM,"EUR 28,47","-2,75%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US16679L1098-BGEM
CHIPOTLE MEXICAN,1CMG,BGEM,"EUR 35,02","2,44%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US1696561059-BGEM
CHOICE,MLTV,MLXB,"EUR 0,22",-,12 Jan 2026,https://live.euronext.com/pt/product/equities/BE0974370026-MLXB
CHRISTIAN DIOR,CDI,XPAR,"EUR 566,00","-3,25%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000130403-XPAR
Chubb Ltd,1CB,BGEM,"EUR 260,00","-1,52%",13 Jan 2026,https://live.euronext.com/pt/product/equities/CH0044328745-BGEM
Church & Dwight,1CHD,BGEM,"EUR 70,72","-2,91%",08 Dec 2025,https://live.euronext.com/pt/product/equities/US1713401024-BGEM
CIAGEST - SIGI S.A,MLCIA,ENXL,"EUR 2,21",-,17 Dec 2025,https://live.euronext.com/pt/product/equities/PTIAG0AM0005-ENXL
CIBIX,,VPXB,-,-,-,https://live.euronext.com/pt/product/equities/BE0003706208-VPXB
CIBOX INTER A CTIV,ALCBX,ALXP,"EUR 0,0152","-5,00%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000054322-ALXP
DEUTZ,2DEZ,MTAH,"EUR 9,67","-2,27%",08 Sep 2025,https://live.euronext.com/pt/product/equities/DE0006305006-MTAH
DEVERNOIS,ALDEV,ALXP,"EUR 11,50","12,75%",07 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000060840-ALXP
DEVON ENERGY,4DY6,ETLX,"EUR 33,50","5,15%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US25179M1036-ETLX
DEVON ENERGY,2DY6,MTAH,"EUR 28,145","0,61%",30 Oct 2025,https://live.euronext.com/pt/product/equities/US25179M1036-MTAH
DEVON ENERGY,1DY6,BGEM,"EUR 31,625","-2,42%",13:27 CET,https://live.euronext.com/pt/product/equities/US25179M1036-BGEM
Dexcom Inc,1DXCM,BGEM,"EUR 59,69","0,07%",09:00 CET,https://live.euronext.com/pt/product/equities/US2521311074-BGEM
DEXELANCE,DEX,MTAA,"EUR 4,07",-,17:35 CET,https://live.euronext.com/pt/product/equities/IT0005543480-MTAA
DEXIA HOLDING,DEXB,VPXB,"EUR 0,30",-,02 Dec 2025,https://live.euronext.com/pt/product/equities/BE0974290224-VPXB
DHH,DHH,EXGM,"EUR 24,00","-3,23%",14:50 CET,https://live.euronext.com/pt/product/equities/IT0005203622-EXGM
DIADEMA CAPITAL,DIAD,EXGM,"EUR 1,71","-5,00%",12 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005605636-EXGM
DIAGNOSTIC MEDICAL,ALDMS,ALXP,"EUR 1,305","-0,38%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0012202497-ALXP
Diamondback Energy,1FANG,BGEM,"EUR 130,94","-1,30%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US25278X1090-BGEM
DIASORIN,DIA,MTAA,"EUR 74,62","-1,79%",17:37 CET,https://live.euronext.com/pt/product/equities/IT0003492391-MTAA
DIASORIN,2DIA,MTAH,"EUR 75,00","0,51%",18:46 CET,https://live.euronext.com/pt/product/equities/IT0003492391-MTAH
DICK'S SPORTING G,1DKS,BGEM,"EUR 181,88","-0,18%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US2533931026-BGEM
DIEGEM KENNEDYCERT,DIEG,XBRU,"EUR 103,00","-0,96%",15 Jan 2026,https://live.euronext.com/pt/product/equities/BE0003698124-XBRU
DIERK. ANTWERP.,,VPXB,"EUR 103,00",-,03 Jun 2025,https://live.euronext.com/pt/product/equities/BE0036367895-VPXB
DIERKUNDE ANTW,,VPXB,"EUR 270,00","21,62%",14 Feb 2023,https://live.euronext.com/pt/product/equities/BE0026342551-VPXB
DIGITAL BROS,DIB,MTAA,"EUR 13,00","-1,22%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0001469995-MTAA
DIGITAL TURBINE IN,1APPS,BGEM,"EUR 4,763","4,50%",10:44 CET,https://live.euronext.com/pt/product/equities/US25400W1027-BGEM
DIGITAL VALUE,DGV,MTAA,"EUR 28,60","-0,17%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005347429-MTAA
DIGITOUCH,DGT,EXGM,"EUR 2,00",-,16:51 CET,https://live.euronext.com/pt/product/equities/IT0005089476-EXGM
DIRECTA SIM,D,EXGM,"EUR 5,30",-,17:35 CET,https://live.euronext.com/pt/product/equities/IT0001463063-EXGM
DIS ELET ADRIATICA,DEA,EXGM,"EUR 8,00",-,15 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005600249-EXGM
DISTRI-LAND CERT,DISL,XBRU,"EUR 218,00",-,31 Dec 2025,https://live.euronext.com/pt/product/equities/BE0003605160-XBRU
DNB BANK,DNB,XOSL,"NOK 282,70","0,04%",16:29 CET,https://live.euronext.com/pt/product/equities/NO0010161896-XOSL
DNO,DNO,XOSL,"NOK 16,44","3,59%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0003921009-XOSL
DNXCORP,ALDNX,ALXP,"EUR 14,60","0,34%",17:24 CET,https://live.euronext.com/pt/product/equities/FR0010436584-ALXP
DO & CO AG,1DOC,BGEM,"EUR 198,00","4,98%",02 Dec 2025,https://live.euronext.com/pt/product/equities/AT0000818802-BGEM
DOCK.PETR.AMBES AM,DPAM,XPAR,"EUR 885,00",-,16:30 CET,https://live.euronext.com/pt/product/equities/FR0000065260-XPAR
DOF GROUP,DOFG,XOSL,"NOK 109,10","1,77%",16:29 CET,https://live.euronext.com/pt/product/equities/NO0012851874-XOSL
DOLFINES,ALDOL,ALXP,"EUR 1,50","1,70%",14:06 CET,https://live.euronext.com/pt/product/equities/FR001400SP13-ALXP
DOLLAR GENERAL,2DGX,MTAH,"EUR 115,48","0,93%",05 Dec 2025,https://live.euronext.com/pt/product/equities/US2566771059-MTAH
DOLLAR GENERAL,4DGX,ETLX,"EUR 120,00","-2,99%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US2566771059-ETLX
DOLLAR GENERAL,1DGX,BGEM,"EUR 131,36","0,37%",13:26 CET,https://live.euronext.com/pt/product/equities/US2566771059-BGEM
Dollar Tree Inc,1DLTR,BGEM,"EUR 118,90","1,45%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US2567461080-BGEM
DOLPHIN DRILLING,DDRIL,MERK,"NOK 2,55","3,66%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0013711739-MERK
DOMINION ENERGY,2D,MTAH,"EUR 52,75","-0,13%",07 Oct 2025,https://live.euronext.com/pt/product/equities/US25746U1097-MTAH
DOMINION ENERGY,4D,ETLX,"EUR 50,94","-0,86%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US25746U1097-ETLX
DOMINION ENERGY,1D,BGEM,"EUR 52,25","1,69%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US25746U1097-BGEM
Domino's Pizza,1DPZ,BGEM,"EUR 352,90","0,34%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US25754A2015-BGEM
DONEGAL INVESTMENT,DQ7A,XESM,"EUR 18,398","1,09%",05 Nov 2025,https://live.euronext.com/pt/product/equities/IE000Y2HN3O9-XESM
DONTNOD,ALDNE,ALXP,"EUR 0,666","-1,77%",15:52 CET,https://live.euronext.com/pt/product/equities/FR0013331212-ALXP
DOORDASH,1DASH,BGEM,"EUR 180,84","-0,30%",09:00 CET,https://live.euronext.com/pt/product/equities/US25809K1051-BGEM
DOORDASH,4DASH,ETLX,"EUR 223,10","3,22%",24 Oct 2025,https://live.euronext.com/pt/product/equities/US25809K1051-ETLX
DOORDASH,2DASH,MTAH,"EUR 202,95","0,72%",19 Dec 2025,https://live.euronext.com/pt/product/equities/US25809K1051-MTAH
DOTSTAY,DOT,EXGM,"EUR 2,46","7,90%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005523839-EXGM
DOVALUE,DOV,MTAA,"EUR 2,856","-4,10%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005610958-MTAA
Dover Corp,1DOV,BGEM,"EUR 152,90","0,39%",24 Oct 2025,https://live.euronext.com/pt/product/equities/US2600031080-BGEM
DOW,1DOW,BGEM,"EUR 23,00","0,44%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US2605571031-BGEM
DOW,2DOW,MTAH,"EUR 19,20","1,05%",15 Oct 2025,https://live.euronext.com/pt/product/equities/US2605571031-MTAH
DOW,4DOW,ETLX,"EUR 18,95","0,26%",22 Oct 2025,https://live.euronext.com/pt/product/equities/US2605571031-ETLX
DOXEE,DOX,EXGM,"EUR 3,82","-1,04%",16:39 CET,https://live.euronext.com/pt/product/equities/IT0005394413-EXGM
DR Horton Inc,1DHI,BGEM,"EUR 136,74","-0,80%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US23331A1097-BGEM
DRAFTKINGS INC A,1DKNG,BGEM,"EUR 30,71","0,24%",13:04 CET,https://live.euronext.com/pt/product/equities/US26142V1052-BGEM
DRONE VOLT,ALDRV,ALXP,"EUR 0,639","-6,31%",17:35 CET,https://live.euronext.com/pt/product/equities/FR001400SVN0-ALXP
DRONE VOLT BS28,BNBS,ALXP,"EUR 0,0105",-,15:30 CET,https://live.euronext.com/pt/product/equities/FR0014007951-ALXP
DRONE VOLT BSA,DRVBS,ALXP,-,-,-,https://live.euronext.com/pt/product/equities/FR001400YNA2-ALXP
DRONE VOLT BSA,DRNBS,ALXP,-,-,-,https://live.euronext.com/pt/product/equities/FR0014011219-ALXP
DROPBOX INC-CLASS,1DBX,BGEM,"EUR 23,50","3,62%",05 Jan 2026,https://live.euronext.com/pt/product/equities/US26210C1045-BGEM
DSM FIRMENICH AG,DSFIR,XAMS,"EUR 66,60","-2,46%",17:35 CET,https://live.euronext.com/pt/product/equities/CH1216478797-XAMS
Duke Energy Corp,1DUK,BGEM,"EUR 101,88","1,86%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US26441C2044-BGEM
DUPONT DE NEMOURS,2DD,MTAH,"EUR 36,535","-0,56%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US26614N1028-MTAH
DUPONT DE NEMOURS,1DD,BGEM,"EUR 37,40","0,25%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US26614N1028-BGEM
DUPONT DE NEMOURS,4DD,ETLX,"EUR 36,88",-,08 Jan 2026,https://live.euronext.com/pt/product/equities/US26614N1028-ETLX
DURR,2DUE,MTAH,"EUR 19,92","-2,83%",07 Oct 2025,https://live.euronext.com/pt/product/equities/DE0005565204-MTAH
DURR,1DUE,BGEM,"EUR 23,35","1,30%",07 Jan 2026,https://live.euronext.com/pt/product/equities/DE0005565204-BGEM
DURR,4DUE,ETLX,"EUR 19,16","3,91%",08 Apr 2025,https://live.euronext.com/pt/product/equities/DE0005565204-ETLX
DYNAFOND,MLDYN,XMLI,"EUR 0,70",-,01 Oct 2025,https://live.euronext.com/pt/product/equities/FR0000052920-XMLI
DYNATRACE,1DYT,BGEM,"EUR 35,60","-2,73%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US2681501092-BGEM
E PANGO,ALAGO,ALXP,"EUR 0,1248","-0,95%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0014004339-ALXP
E-GLOBE,EGB,EXGM,"EUR 0,54",-,11:26 CET,https://live.euronext.com/pt/product/equities/IT0005557514-EXGM
E-NOVIA,E9IA,EXGM,"EUR 2,00","-4,76%",27 Aug 2025,https://live.euronext.com/pt/product/equities/IT0005391229-EXGM
E.ON,1EOAN,BGEM,"EUR 17,335","1,08%",15:12 CET,https://live.euronext.com/pt/product/equities/DE000ENAG999-BGEM
E.ON,2EOAN,MTAH,"EUR 17,24","2,96%",07 Jan 2026,https://live.euronext.com/pt/product/equities/DE000ENAG999-MTAH
E.ON,4EOAN,ETLX,"EUR 16,08","0,66%",30 Dec 2025,https://live.euronext.com/pt/product/equities/DE000ENAG999-ETLX
E.P.H.,EPH,MTAA,"EUR 0,126","-6,67%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005623845-MTAA
E.T.S.,ETS,EXGM,"EUR 5,26","-2,23%",15 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005669558-EXGM
EAGLEFOOTBALLGROUP,EFG,XPAR,"EUR 1,68",-,15:49 CET,https://live.euronext.com/pt/product/equities/FR0010428771-XPAR
EAM SOLAR,EAM,MERK,"NOK 1,72","-14,00%",16:26 CET,https://live.euronext.com/pt/product/equities/NO0013601245-MERK
EASE2PAY NV,EAS2P,XAMS,"EUR 0,43","-2,05%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0000345627-XAMS
EASSON HOLDINGS,MLEAS,XMLI,"EUR 1,26","-0,79%",06 Jan 2025,https://live.euronext.com/pt/product/equities/HK0000038783-XMLI
Eastman Chemical,1EMN,BGEM,"EUR 52,62","-2,01%",08 Dec 2025,https://live.euronext.com/pt/product/equities/US2774321002-BGEM
Eaton Corp PLC,1ETN,BGEM,"EUR 297,75","2,27%",16:34 CET,https://live.euronext.com/pt/product/equities/IE00B8KQN827-BGEM
EAUX DE ROYAN,MLEDR,XMLI,"EUR 41,20","-5,51%",16:30 CET,https://live.euronext.com/pt/product/equities/FR0007200100-XMLI
EAVS,MLEAV,XMLI,"EUR 13,00",-,28 Sep 2022,https://live.euronext.com/pt/product/equities/FR0010536185-XMLI
